人參,Araliaceae 五加科
西洋參,Araliaceae 五加科
黨參,Campanulaceae 桔梗科
黃耆,Fabaceae 豆科
山藥,Dioscoreaceae 薯蘋科
大棗,Rhamnaceae 鼠李科
甘草,Fabaceae 豆科
當歸,Apiaceae 繖形科
地黃,Scrophulariaceae 玄參科
白芍,Ranunculaceae 毛茛科
何首烏,Polygonaceae 蓼科
阿膠,Equidae 馬科
枸杞子,Solanaceae 茄科
麥門冬,Liliaceae 百合科
知母,Liliaceae 百合科
石斛,Orchidaceae 蘭科
女貞子,Oleaceae 木犀科
黃精,Liliaceae 百合科
龜板,Emydidae 龜科
肉蓯蓉,Orobanchaceae 列當科
淫羊藿,Berberidaceae 小檗科
杜仲,Eucommiaceae 杜仲科
鎖陽,Cynomoriaceae 鎖陽科
續斷,Dipsaceae 川續斷科
補骨脂,Fabaceae 豆科
冬蟲夏草,Clavicipitaceae 麥角菌科
附子,Ranunculaceae 毛茛科
肉桂,Lauraceae 樟科
吳茱萸,Rutaceae 芸香科
小茴香,Apiaceae 繖形科
細辛,Aristolochiaceae 馬兜鈴科
丁香,Myrtaceae 桃金孃科
炮薑,Zingiberaceae 薑科
沉香,Thymelaeaceae 瑞香科
陳皮,Rutaceae 芸香科
鉤藤,Rubiaceae 茜草科
天麻,Orchidaceae 蘭科
酸棗仁,Rhamnaceae 鼠李科
遠志,Polygalaceae 遠志科
五味子,Magnoliaceae 木蘭科
山茱萸,Cornaceae 山茱萸科
訶子,Combretaceae 使君子科
覆盆子,Rosaceae 薔薇科
麻黃,Ephedraceae 麻黃科
辛夷,Magnoliaceae 木蘭科
白芷,Apiaceae 繖形科
蒼耳子,Asteraceae 菊科
防風,Apiaceae 繖形科
荊芥,Lamiaceae 脣形科
紫蘇葉,Lamiaceae 脣形科
生薑,Zingiberaceae 薑科
柴胡,Apiaceae 繖形科
葛根,Fabaceae 豆科
薄荷,Lamiaceae 脣形科
升麻,Ranunculaceae 毛茛科
半夏,Araceae 天南星科
貝母,Liliaceae 百合科
桔梗,Campanulaceae 桔梗科
胖大海,Sterculiaceae 梧桐科
白果,Ginkgoaceae 銀杏科
杏仁,Rosaceae 薔薇科
桑白皮,Moraceae 桑科
枇杷葉,Rosaceae 薔薇科
茯苓,Polyporaceae 多孔菌科
白朮,Asteraceae 菊科
車前子,Plantaginaceae 車前科
木通,Lardizabalaceae 木通科
澤瀉,Alismataceae 澤瀉科
蒼朮,Asteraceae 菊科
厚朴,Magnoliaceae 木蘭科
五加皮,Araliaceae 五加科
大黃,Polygonaceae 蓼科
蘆薈,Liliaceae 百合科
丹參,Lamiaceae 脣形科
桃仁,Rosaceae 薔薇科
紅花,Asteraceae 菊科
延胡索,Papaveraceae 罌粟科
蘇木,Fabaceae 豆科
川芎,Apiaceae 繖形科
薑黃,Zingiberaceae 薑科
益母草,Lamiaceae 脣形科
牛膝,Amaranthaceae 莧科
乳香,Burseraceae 橄欖科
白及,Orchidaceae 蘭科
艾葉,Asteraceae 菊科
槐花,Fabaceae 豆科
三七,Araliaceae 五加科
金銀花,Caprifoliaceae 忍冬科
連翹,Oleaceae 木犀科
蒲公英,Asteraceae 菊科
板藍根,Brassicaceae 十字花科
敗醬草,Valerianaceae 敗醬科
梔子,Rubiaceae 茜草科
夏枯草,Lamiaceae 脣形科
栝蔞根,Cucurbitaceae 葫蘆科
黃連,Ranunculaceae 毛茛科
黃芩,Lamiaceae 脣形科
黃柏,Rutaceae 芸香科
龍膽,Gentianaceae 龍膽科
苦參,Fabaceae 豆科
牡丹皮,Ranunculaceae 毛茛科
紫草,Boraginaceae 紫草科
赤芍,Ranunculaceae 毛茛科
地骨皮,Solanaceae 茄科
青蒿,Asteraceae 菊科
蛇床子,Apiaceae 繖形科
檳榔,Arecaceae 棕櫚科