人參,Panax ginseng
西洋參,Panax quinquefolii
黨參,Codonopsis pilosula
黃耆,Astragalus membranceus / mongholicus
山藥,Dioscorea opposita
大棗,Ziziphus jujuba
甘草,Glycyrrhiza uralensis / glabra
當歸,Angelica sinensis
地黃,Rehmannia glutinosa
白芍,Paeonia lactiflora
何首烏,Polygonum multiflorum
阿膠,Equus asinus
枸杞子,Lycium chinense
麥門冬,Ophiopogon japonicus
知母,Anemarrhena asphodeloides
石斛,Dendrobium nobile
女貞子,Legustrum lucidum
黃精,Polygonatum sibiricum
龜板,Chinemys reevesii
肉蓯蓉,Cistanche deserticola
淫羊藿,Epimedium brevicornu
杜仲,Eucommia ulmoides
鎖陽,Cynomorium songaricum
續斷,Dipsacus asperoides
補骨脂,Psoralea corylifolia
冬蟲夏草,Ophiocordyceps sinensis
附子,Aconitum carmichaelii
肉桂,Cinnamomum cassia
吳茱萸,Euodia rutaecarpa
小茴香,Foeniculum vulgare
細辛,Asarum heterotropides
丁香,Syzygium aromaticum / Eugenia caryophyllata (同樣植物)
炮薑,Zingiber officinale
沉香,Aquilaria sinensis
陳皮,Citrus reticulata
鉤藤,Uncaria rhynchophylla
天麻,Gastrodia elata
酸棗仁,Ziziphus jujuba 變種
遠志,Polygala tenuifolia / sibirica
五味子,Schisandra chinensis
山茱萸,Cornus officinalis
訶子,Terminalia chebula
覆盆子,Rubus chingii
麻黃,Ephedra sinica
辛夷,Magnolia denudata / biondii
白芷,Anglica dahurica
蒼耳子,Xanthium sibiricum
防風,Saposhnikovia divaricata
荊芥,Nepeta tenuifolia
紫蘇葉,Perilla frutescenes
生薑,Zingiber officinale
柴胡,Bupleurum chinense
葛根,Pueraria lobata
薄荷,Mentha haplocalyx
升麻,Cimicifuga foetida
半夏,Pinellia ternata
貝母,Fritillaria thunbergii / cirrhosa
桔梗,Platycodon grandiflorus
胖大海,Sterculia lychnophora
白果,Ginkgo biloba
杏仁,Prunus armeniaca
桑白皮,Morus alba
枇杷葉,Eriobotrya japonica
茯苓,Poria cocos
白朮,Atractylodes macrocephala
車前子,Plantago asiatica
木通,Akebia trifoliata
澤瀉,Alisma orientale
蒼朮,Atractylodes lancea
厚朴,Magnolia officinalis
五加皮,Acanthopanax gracilistylus
大黃,Rheum palmatum
蘆薈,Aloe barbadensis / ferox
丹參,Salvia miltiorrhiza
桃仁,Prunus persica
紅花,Carthamus tinctorius
延胡索,Corydalis yanhusuo
蘇木,Caesalpinia sappan
川芎,Ligusticum chuanxiong
薑黃,Curcuma longa
益母草,Leonurus heterophyllus
牛膝,Achyranthes bidentata
乳香,Boswellia carterii
白及,Bletilla striata
艾葉,Artemisia argyi
槐花,Sophora japonica
三七,Panax notoginseng
金銀花,Lonicera japonica
連翹,Forsythia suspensa
蒲公英,Taraxacum mongolicum
板藍根,Isatis indigotica
敗醬草,Patrinia scabiosifolia
梔子,Gardenia jasminoides
夏枯草,Prunella vulgaris
栝蔞根,Trichosanthes kirilowii
黃連,Coptis chinensis
黃芩,Scutellaria baicalensis
黃柏,Phellodendron amurense
龍膽,Gentiana scabra
苦參,Sophora flavescens
牡丹皮,Paeonia suffruticosa
紫草,Lithospermum erythrorhizon
赤芍,Paeonia lactiflora
地骨皮,Lycium chinense
青蒿,Artemisia annua
蛇床子,Cnidium monnieri
檳榔,Areca catechu